Date,Open,High,Low,Close,Adj Close,Volume
31/10/2011,63.099998,63.98,62.450001,62.860001,56.827774,11604940
01/11/2011,62.860001,63.130001,61.220001,61.459999,55.562126,11457365
02/11/2011,61.200001,62.380001,60.709999,61.459999,55.562126,10014775
03/11/2011,61.240002,62.48,60.779999,61.990002,56.04126,11655165
04/11/2011,62.400002,63.459999,62.400002,63.299999,57.225552,8167640
08/11/2011,63.580002,63.700001,61.549999,61.869999,55.93277,8082855
09/11/2011,62.310001,62.389999,61.110001,61.380001,55.489799,6924105
11/11/2011,60.900002,61.25,59.259998,59.650002,53.925819,11577545
14/11/2011,60.040001,61.200001,58.5,58.73,53.094101,7347265
15/11/2011,58.599998,59.540001,56.599998,56.939999,51.475872,10668825
16/11/2011,56.810001,57,53.689999,54.139999,48.944576,29422930
17/11/2011,54.040001,55.759998,53.130001,54.32,49.107296,15277110
18/11/2011,53.599998,54.59,53.16,54.080002,48.890335,13449210
21/11/2011,54.099998,56,52.220001,52.619999,47.570431,8730830
22/11/2011,53.200001,53.889999,52.439999,53.32,48.203262,11296025
23/11/2011,53.200001,53.380001,52.029999,52.950001,47.868767,10043650
24/11/2011,53.200001,55.799999,52.310001,55.400002,50.083664,16749210
25/11/2011,55.540001,55.950001,54.490002,54.82,49.559311,10421620
28/11/2011,55.57,56.48,55.41,56.220001,50.82497,6404140
29/11/2011,56.200001,56.459999,54.84,55.040001,49.758209,8835055
30/11/2011,54.799999,55.189999,54.009998,54.439999,49.215782,5147235
01/12/2011,55.599998,57.32,55.310001,55.82,50.463356,6583495
02/12/2011,55.82,58.259998,55.82,58.040001,52.470322,9220790
05/12/2011,57.400002,58.279999,57.110001,57.77,52.226227,8584095
07/12/2011,57.799999,59.889999,57,59.27,53.582283,13563890
08/12/2011,56.310001,59.02,56.310001,57.439999,51.927891,10935975
09/12/2011,56.900002,57.560001,55.84,57.310001,51.810371,18987445
12/12/2011,57.599998,58.32,56.060001,56.540001,51.114258,16738910
13/12/2011,56,56.200001,54.68,55.630001,50.291584,12729365
14/12/2011,55.950001,56.799999,55.23,55.57,50.237347,13058660
15/12/2011,55.009998,55.009998,53.060001,53.57,48.429268,15262180
16/12/2011,54,54.720001,50.630001,51.299999,46.377106,19255795
19/12/2011,51,51.25,49.400002,51.009998,46.114937,12249735
20/12/2011,51.189999,51.599998,48.040001,48.52,43.863884,19200075
21/12/2011,49.049999,50.599998,48.560001,50.09,45.283222,11756070
22/12/2011,50.200001,51.799999,48.82,51.59,46.639278,15521760
23/12/2011,51.599998,52.27,50.040001,50.400002,45.563473,17342680
26/12/2011,50.240002,51.349998,50.240002,50.889999,46.006451,5211800
27/12/2011,51,51.099998,49.75,50.18,45.364586,5696920
28/12/2011,50.099998,50.290001,48.209999,48.32,43.683079,11961890
29/12/2011,48,48.290001,47.369999,47.860001,43.267212,11895005
30/12/2011,48.200001,49.080002,47.349998,47.759998,43.176811,9134895
02/01/2012,48,48.509998,46.099998,46.369999,41.9202,16278750
03/01/2012,47.200001,49.380001,46.599998,49.18,44.460541,21337225
04/01/2012,49.98,51,47.610001,48.209999,43.58363,19977935
05/01/2012,48.200001,49.82,47.639999,49.57,44.813126,16636020
06/01/2012,49,50.549999,48.5,49.959999,45.165691,16571055
07/01/2012,null,null,null,null,null,null
09/01/2012,50.400002,50.48,48.849998,49.799999,45.021042,16560130
10/01/2012,50,53.099998,50,52.860001,47.787407,16994660
11/01/2012,52.75,54.700001,52.57,54.459999,49.233856,17791780
12/01/2012,54.459999,56.700001,53.700001,56.119999,50.734562,17364820
13/01/2012,56.400002,57.139999,55.52,56.16,50.770721,14516560
16/01/2012,55.459999,56.389999,54.759998,56.060001,50.680321,7915470
17/01/2012,56.259998,57.91,56.259998,57.060001,51.584358,9409235
18/01/2012,57.099998,57.200001,55.599998,56.209999,50.815926,7636335
19/01/2012,57.09,57.639999,56.540001,57.459999,51.945976,7842060
20/01/2012,57.700001,59.98,57.5,59.580002,53.862537,14383555
23/01/2012,60,61.880001,59.799999,61.509998,55.607323,22157770
24/01/2012,61.700001,64.699997,59.740002,63.880001,57.749897,46331850
25/01/2012,64.379997,66.580002,63.700001,66.059998,59.720692,35077840
27/01/2012,65.800003,66.629997,64.019997,65.199997,58.943218,16161410
30/01/2012,64.669998,64.910004,62.330002,62.75,56.728336,18450955
31/01/2012,63.32,66.400002,63.169998,66.089996,59.74781,11771910
01/02/2012,66.089996,67.489998,64.879997,67.230003,60.778427,11113750
02/02/2012,67.699997,68.300003,65.629997,67.800003,61.29372,16279970
03/02/2012,67.480003,69.360001,66.019997,68.949997,62.333359,13128310
06/02/2012,69.980003,70.889999,68.349998,69.18,62.54129,13525150
07/02/2012,69.190002,69.510002,67.099998,67.519997,61.040581,15675840
08/02/2012,67.419998,68.080002,66,66.690002,60.290241,18883530
09/02/2012,66.230003,69.599998,66,69.199997,62.559368,14263600
10/02/2012,68.980003,70,67.650002,69.559998,62.884823,14558735
13/02/2012,69.43,70.400002,68.099998,69.849998,63.146999,9574445
14/02/2012,69.82,72,69.550003,71.589996,64.720016,13775870
15/02/2012,75,75,71.900002,73.169998,66.148384,12342405
16/02/2012,73.160004,74.480003,72,73.449997,66.401535,16939125
17/02/2012,74.599998,74.830002,72.449997,72.82,65.831978,7645555
21/02/2012,71,74.18,70.199997,73.75,66.672752,10762910
22/02/2012,73.82,74.150002,68.809998,69.139999,62.505131,18165725
23/02/2012,68.599998,71.260002,67.540001,70.720001,63.933525,24058310
24/02/2012,70.580002,71.459999,67.110001,67.949997,61.429321,11557050
27/02/2012,67.949997,67.949997,63.419998,63.950001,57.813179,15232130
28/02/2012,65.190002,70.199997,64.400002,69.870003,63.165085,19757525
29/02/2012,70.419998,71.169998,68,69.089996,62.459915,10790200
01/03/2012,68.459999,69.239998,67.419998,68,61.474522,7258105
02/03/2012,68.139999,71.349998,68.07,70.089996,63.363968,15549565
03/03/2012,null,null,null,null,null,null
05/03/2012,69.769997,69.779999,67.330002,67.940002,61.420292,6190950
06/03/2012,67.599998,71.300003,66.739998,68.470001,61.899426,19686660
07/03/2012,68,68.489998,66.199997,67.559998,61.076748,16764080
09/03/2012,69.559998,74.279999,68.650002,73.25,66.220718,24908540
12/03/2012,74,74.940002,70.870003,72.919998,65.922379,119209690
13/03/2012,73.989998,73.989998,72.599998,73.709999,66.636581,11548850
14/03/2012,75.980003,77.739998,74.150002,77.300003,69.882072,26934685
15/03/2012,76.800003,77.540001,74,75.040001,67.838959,32447355
16/03/2012,75.389999,76.540001,72.839996,73.529999,66.473862,20056935
19/03/2012,74,74,71.43,72.190002,65.262451,10367325
20/03/2012,72.300003,73.800003,71.360001,73.190002,66.166489,13116355
21/03/2012,72.480003,75.089996,72.480003,74.870003,67.685265,11171740
22/03/2012,74.379997,76.559998,72.599998,73.349998,66.311119,20748290
23/03/2012,73.760002,75.18,73.239998,74.410004,67.269409,10563425
26/03/2012,73.400002,74,71.029999,71.629997,64.75618,18090955
27/03/2012,72.419998,72.709999,67.099998,70.879997,64.078148,44477790
28/03/2012,70.419998,70.949997,69.220001,70.029999,63.309708,15669935
29/03/2012,69.199997,73.379997,68.239998,72.419998,65.470367,22352725
30/03/2012,71.150002,74,71.150002,73.760002,66.681778,10941725
02/04/2012,73.970001,75.470001,73.660004,74.610001,67.450203,19365795
03/04/2012,75.040001,76.18,74.5,74.849998,67.667175,9341450
